M	M'	N	N'	W	T
506	292	1000	575	370	0.00107674
507	281	1000	548	358	0.000785221
510	267	1000	518	350	0.000620186
502	256	1000	510	344	0.000592448
501	258	1000	519	349	0.00066213
1018	524	2000	1013	673	0.00329865
1009	556	2000	1094	726	0.00301963
1009	529	2000	1041	670	0.00253142
997	532	2000	1072	701	0.00268671
998	518	2000	1040	678	0.00249961
1977	1019	4000	2084	1366	0.012017
1985	1038	4000	2111	1386	0.0118145
1977	1027	4000	2102	1401	0.0117422
1992	1044	4000	2106	1397	0.0165902
1992	1062	4000	2140	1394	0.0170281
4029	2155	8000	4254	2772	0.0658255
3976	2112	8000	4273	2809	0.0612993
4036	2088	8000	4107	2762	0.0581667
3965	2100	8000	4270	2799	0.0605496
3959	2054	8000	4193	2794	0.0592416
7976	4121	16000	8290	5535	0.288941
8028	4189	16000	8323	5507	0.28568
7989	4217	16000	8458	5523	0.287698
8064	4275	16000	8422	5569	0.292836
7986	4169	16000	8367	5520	0.28784
16111	8487	32000	16752	11073	1.24817
16053	8398	32000	16691	11108	1.25587
16011	8364	32000	16708	11123	1.25891
15965	8397	32000	16864	11154	1.26643
16064	8446	32000	16764	11134	1.26908
