M	M'	N	N'	W	T
500	259	1000	521	344	0.000378211
506	259	1000	509	332	0.000250576
499	252	1000	507	353	0.000284067
486	260	1000	550	364	0.00031303
499	263	1000	530	345	0.00027825
1018	552	2000	1069	690	0.00124053
984	505	2000	1043	687	0.00103078
984	500	2000	1032	694	0.00106333
998	518	2000	1041	690	0.00103616
1030	574	2000	1089	690	0.00108453
1986	1058	4000	2146	1403	0.00493623
2001	1062	4000	2124	1405	0.00435959
2002	1030	4000	2058	1381	0.00418632
2012	1058	4000	2093	1407	0.00430946
2016	1054	4000	2080	1364	0.004057
4005	2096	8000	4183	2774	0.0236168
4042	2152	8000	4223	2770	0.022395
3994	2121	8000	4259	2823	0.0220928
4014	2127	8000	4229	2799	0.0200826
4036	2145	8000	4221	2762	0.0193569
8005	4186	16000	8362	5487	0.104924
8090	4283	16000	8389	5602	0.112445
7992	4127	16000	8272	5534	0.106692
7991	4144	16000	8308	5516	0.105513
7920	4101	16000	8365	5506	0.104371
16001	8380	32000	16761	10993	0.463642
16006	8330	32000	16652	11027	0.468067
16045	8503	32000	16921	11112	0.47838
15998	8295	32000	16596	11001	0.46584
15956	8250	32000	16589	11015	0.466602
